날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,농심,004370,KOSPI,342500,347500,341500,344000,22500,0.0,87,HANARO Fn K-푸드
2025-01-21,농심,004370,KOSPI,345500,346000,339500,341000,18260,-0.87,87,HANARO Fn K-푸드
2025-01-22,농심,004370,KOSPI,342500,343000,335000,336000,29307,-1.47,87,HANARO Fn K-푸드
2025-01-23,농심,004370,KOSPI,336500,336500,331000,334000,16964,-0.6,87,HANARO Fn K-푸드
2025-01-24,농심,004370,KOSPI,339500,351000,339000,349000,59574,4.49,87,HANARO Fn K-푸드
2025-01-31,농심,004370,KOSPI,352000,353000,344000,349000,17009,0.0,87,HANARO Fn K-푸드
2025-02-03,농심,004370,KOSPI,344500,360000,343500,356000,46908,2.01,87,HANARO Fn K-푸드
2025-02-04,농심,004370,KOSPI,356500,357000,348000,351500,23873,-1.26,87,HANARO Fn K-푸드
2025-02-05,농심,004370,KOSPI,351000,357000,350000,353000,17638,0.43,87,HANARO Fn K-푸드
2025-02-06,농심,004370,KOSPI,355000,365000,352000,360000,39939,1.98,87,HANARO Fn K-푸드
2025-02-07,농심,004370,KOSPI,358500,360500,352000,352500,16635,-2.08,87,HANARO Fn K-푸드
2025-02-10,농심,004370,KOSPI,350000,356500,345000,350000,12890,-0.71,87,HANARO Fn K-푸드
2025-02-11,농심,004370,KOSPI,350000,352000,344000,348000,15222,-0.57,87,HANARO Fn K-푸드
2025-02-12,농심,004370,KOSPI,349000,353500,345000,349000,9832,0.29,87,HANARO Fn K-푸드
2025-02-13,농심,004370,KOSPI,344500,345000,337000,339000,55030,-2.87,87,HANARO Fn K-푸드
2025-02-14,농심,004370,KOSPI,340500,353000,339500,350000,36699,3.24,87,HANARO Fn K-푸드
2025-02-17,농심,004370,KOSPI,352500,356000,348500,352000,21049,0.57,87,HANARO Fn K-푸드
2025-02-18,농심,004370,KOSPI,354000,359000,346000,348500,31519,-0.99,87,HANARO Fn K-푸드
2025-02-19,농심,004370,KOSPI,348000,354500,347000,352000,17253,1.0,87,HANARO Fn K-푸드
2025-02-20,농심,004370,KOSPI,350500,356500,350500,351000,14695,-0.28,87,HANARO Fn K-푸드
2025-02-21,농심,004370,KOSPI,352000,352000,345500,350000,24202,-0.28,87,HANARO Fn K-푸드
2025-02-24,농심,004370,KOSPI,349000,356500,345000,353500,17091,1.0,87,HANARO Fn K-푸드
2025-02-25,농심,004370,KOSPI,352500,352500,347500,349000,11937,-1.27,87,HANARO Fn K-푸드
2025-02-26,농심,004370,KOSPI,350500,351000,345500,349000,10539,0.0,87,HANARO Fn K-푸드
2025-02-27,농심,004370,KOSPI,350000,354500,349000,351500,16451,0.72,87,HANARO Fn K-푸드
2025-02-28,농심,004370,KOSPI,349500,349500,340500,341000,21926,-2.99,87,HANARO Fn K-푸드
2025-03-04,농심,004370,KOSPI,341000,343500,338500,339500,13182,-0.44,87,HANARO Fn K-푸드
2025-03-05,농심,004370,KOSPI,340500,355000,340500,352000,34631,3.68,87,HANARO Fn K-푸드
2025-03-06,농심,004370,KOSPI,358500,394000,353500,389500,139000,10.65,87,HANARO Fn K-푸드
2025-03-07,농심,004370,KOSPI,392000,408000,387000,394000,107708,1.16,87,HANARO Fn K-푸드
2025-03-10,농심,004370,KOSPI,394000,394500,385000,386500,33916,-1.9,87,HANARO Fn K-푸드
2025-03-11,농심,004370,KOSPI,385500,401500,376500,388000,72626,0.39,87,HANARO Fn K-푸드
2025-03-12,농심,004370,KOSPI,388000,394000,386000,391000,25411,0.77,87,HANARO Fn K-푸드
2025-03-13,농심,004370,KOSPI,397000,397500,375000,382000,67119,-2.3,87,HANARO Fn K-푸드
2025-03-14,농심,004370,KOSPI,382500,384500,375500,383000,27777,0.26,87,HANARO Fn K-푸드
2025-03-17,농심,004370,KOSPI,387000,389000,383500,389000,23571,1.57,87,HANARO Fn K-푸드
2025-03-18,농심,004370,KOSPI,389000,400000,389000,400000,30628,2.83,87,HANARO Fn K-푸드
2025-03-19,농심,004370,KOSPI,402000,431000,399500,422000,76199,5.5,87,HANARO Fn K-푸드
2025-03-20,농심,004370,KOSPI,428000,444000,420000,426500,66675,1.07,87,HANARO Fn K-푸드
2025-03-21,농심,004370,KOSPI,423000,432000,417500,428000,43196,0.35,87,HANARO Fn K-푸드
