날짜,종목명,종목코드,시장구분,시가,고가,저가,종가,거래량,등락률,RS,ETF
2025-01-20,이수페타시스,007660,KOSPI,28450,28550,27600,27950,1312780,0.0,95,SOL 반도체후공정
2025-01-21,이수페타시스,007660,KOSPI,27800,31450,27400,30050,7454782,7.51,95,SOL 반도체후공정
2025-01-22,이수페타시스,007660,KOSPI,29900,31750,29600,31450,4750857,4.66,95,SOL 반도체후공정
2025-01-23,이수페타시스,007660,KOSPI,31850,32500,31300,31950,3683932,1.59,95,SOL 반도체후공정
2025-01-24,이수페타시스,007660,KOSPI,38850,41400,37350,40900,13326132,28.01,95,SOL 반도체후공정
2025-01-31,이수페타시스,007660,KOSPI,38200,39550,37700,38700,4905960,-5.38,95,SOL 반도체후공정
2025-02-03,이수페타시스,007660,KOSPI,37500,37700,33800,34250,6264912,-11.5,95,SOL 반도체후공정
2025-02-04,이수페타시스,007660,KOSPI,35400,37250,35150,35550,4426934,3.8,95,SOL 반도체후공정
2025-02-05,이수페타시스,007660,KOSPI,36950,38300,36650,37800,3400922,6.33,95,SOL 반도체후공정
2025-02-06,이수페타시스,007660,KOSPI,39200,40500,37850,38750,4621838,2.51,95,SOL 반도체후공정
2025-02-07,이수페타시스,007660,KOSPI,39100,39500,37850,38150,2005007,-1.55,95,SOL 반도체후공정
2025-02-10,이수페타시스,007660,KOSPI,37500,39600,36600,38250,2430993,0.26,95,SOL 반도체후공정
2025-02-11,이수페타시스,007660,KOSPI,38700,39950,37700,38800,2506189,1.44,95,SOL 반도체후공정
2025-02-12,이수페타시스,007660,KOSPI,38800,41350,37550,40700,4340902,4.9,95,SOL 반도체후공정
2025-02-13,이수페타시스,007660,KOSPI,42150,44700,41600,43000,6908483,5.65,95,SOL 반도체후공정
2025-02-14,이수페타시스,007660,KOSPI,43900,43950,41600,41600,2228647,-3.26,95,SOL 반도체후공정
2025-02-17,이수페타시스,007660,KOSPI,40675,41259,39799,40578,1576862,-2.46,95,SOL 반도체후공정
2025-02-18,이수페타시스,007660,KOSPI,40918,42232,40188,41453,2809285,2.16,95,SOL 반도체후공정
2025-02-19,이수페타시스,007660,KOSPI,42718,42767,39702,39994,3087855,-3.52,95,SOL 반도체후공정
2025-02-20,이수페타시스,007660,KOSPI,40432,41794,38875,39896,2796078,-0.24,95,SOL 반도체후공정
2025-02-21,이수페타시스,007660,KOSPI,39410,41794,38972,40724,3364946,2.07,95,SOL 반도체후공정
2025-02-24,이수페타시스,007660,KOSPI,40100,40250,38950,40150,1317570,-1.41,95,SOL 반도체후공정
2025-02-25,이수페타시스,007660,KOSPI,39150,42550,39150,41600,2041214,3.61,95,SOL 반도체후공정
2025-02-26,이수페타시스,007660,KOSPI,41100,43450,40750,42800,2161727,2.88,95,SOL 반도체후공정
2025-02-27,이수페타시스,007660,KOSPI,43550,43700,40350,40950,1854927,-4.32,95,SOL 반도체후공정
2025-02-28,이수페타시스,007660,KOSPI,38900,39450,37450,37650,2111139,-8.06,95,SOL 반도체후공정
2025-03-04,이수페타시스,007660,KOSPI,35600,37500,35100,36650,1344399,-2.66,95,SOL 반도체후공정
2025-03-05,이수페타시스,007660,KOSPI,37150,38000,36300,37100,946798,1.23,95,SOL 반도체후공정
2025-03-06,이수페타시스,007660,KOSPI,37150,37250,34850,35100,1446547,-5.39,95,SOL 반도체후공정
2025-03-07,이수페타시스,007660,KOSPI,35350,37600,34775,37200,1589943,5.98,95,SOL 반도체후공정
2025-03-10,이수페타시스,007660,KOSPI,36850,38200,34950,35800,1310487,-3.76,95,SOL 반도체후공정
2025-03-11,이수페타시스,007660,KOSPI,34000,37650,34000,37400,1415397,4.47,95,SOL 반도체후공정
2025-03-12,이수페타시스,007660,KOSPI,37350,38900,37000,38700,1027994,3.48,95,SOL 반도체후공정
2025-03-13,이수페타시스,007660,KOSPI,39600,40450,38900,39550,1295883,2.2,95,SOL 반도체후공정
2025-03-14,이수페타시스,007660,KOSPI,39550,40700,39300,40300,844811,1.9,95,SOL 반도체후공정
2025-03-17,이수페타시스,007660,KOSPI,41200,42750,41000,41050,1609344,1.86,95,SOL 반도체후공정
2025-03-18,이수페타시스,007660,KOSPI,41150,41450,40150,41150,765555,0.24,95,SOL 반도체후공정
2025-03-19,이수페타시스,007660,KOSPI,40500,41350,39750,40200,878960,-2.31,95,SOL 반도체후공정
2025-03-20,이수페타시스,007660,KOSPI,40250,40600,39650,40100,540104,-0.25,95,SOL 반도체후공정
2025-03-21,이수페타시스,007660,KOSPI,39850,41250,39500,39800,1089732,-0.75,95,SOL 반도체후공정
